Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,NA_Cumulative_Sales
259.0,Asteroids,2600,1980.0,Shooter,Atari,4.0,0.26,0.0,0.05,4.31,,
545.0,Missile Command,2600,1980.0,Shooter,Atari,2.56,0.17,0.0,0.03,2.76,,
1768.0,Kaboom!,2600,1980.0,Misc,Activision,1.07,0.07,0.0,0.01,1.15,,
1971.0,Defender,2600,1980.0,Misc,Atari,0.99,0.05,0.0,0.01,1.05,,
2671.0,Boxing,2600,1980.0,Fighting,Activision,0.72,0.04,0.0,0.01,0.77,,
4027.0,Ice Hockey,2600,1980.0,Sports,Activision,0.46,0.03,0.0,0.01,0.49,,
5368.0,Freeway,2600,1980.0,Action,Activision,0.32,0.02,0.0,0.0,0.34,,
6319.0,Bridge,2600,1980.0,Misc,Activision,0.25,0.02,0.0,0.0,0.27,,
6898.0,Checkers,2600,1980.0,Misc,Atari,0.22,0.01,0.0,0.0,0.24,,
240.0,Pitfall!,2600,1981.0,Platform,Activision,4.21,0.24,0.0,0.05,4.5,,
736.0,Frogger,2600,1981.0,Action,Parker Bros.,2.06,0.12,0.0,0.02,2.2,,
768.0,Demon Attack,2600,1981.0,Shooter,Imagic,1.99,0.12,0.0,0.02,2.13,,
866.0,E.T.: The Extra Terrestrial,2600,1981.0,Action,Atari,1.84,0.11,0.0,0.02,1.97,,
1108.0,Ms. Pac-Man,2600,1981.0,Puzzle,Atari,1.54,0.1,0.0,0.02,1.65,,
1155.0,River Raid,2600,1981.0,Shooter,Activision,1.49,0.09,0.0,0.02,1.6,,
1308.0,Donkey Kong,2600,1981.0,Platform,Coleco,1.36,0.08,0.0,0.02,1.46,,
1431.0,Centipede,2600,1981.0,Shooter,Atari,1.26,0.08,0.0,0.01,1.36,,
1558.0,Atlantis,2600,1981.0,Shooter,Imagic,1.18,0.08,0.0,0.01,1.27,,
1850.0,Megamania,2600,1981.0,Shooter,Activision,1.03,0.06,0.0,0.01,1.1,,
1967.0,Cosmic Ark,2600,1981.0,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05,,
2145.0,Donkey Kong Junior,2600,1981.0,Platform,Atari,0.9,0.05,0.0,0.01,0.97,,
2234.0,Spider-Man,2600,1981.0,Action,Parker Bros.,0.87,0.05,0.0,0.01,0.93,,
2518.0,Custer's Revenge,2600,1981.0,Action,Mystique,0.76,0.05,0.0,0.01,0.82,,
