Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,NA_Cumulative_Sales
90.0,Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,1980s,
90.0,Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,1980s,
90.0,Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,1980s,
90.0,Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,1980s,
240.0,Pitfall!,2600,1981.0,Platform,Activision,4.21,0.24,0.0,0.05,4.5,1980s,
240.0,Pitfall!,2600,1981.0,Platform,Activision,4.21,0.24,0.0,0.05,4.5,1980s,
240.0,Pitfall!,2600,1981.0,Platform,Activision,4.21,0.24,0.0,0.05,4.5,1980s,
240.0,Pitfall!,2600,1981.0,Platform,Activision,4.21,0.24,0.0,0.05,4.5,1980s,
240.0,Pitfall!,2600,1981.0,Platform,Activision,4.21,0.24,0.0,0.05,4.5,1980s,
240.0,Pitfall!,2600,1981.0,Platform,Activision,4.21,0.24,0.0,0.05,4.5,1980s,
11751.0,Super Baseball,2600,1987.0,Sports,Atari,0.07,0.0,0.0,0.0,0.07,1980s,
11751.0,Super Baseball,2600,1987.0,Sports,Atari,0.07,0.0,0.0,0.0,0.07,1980s,
11751.0,Super Baseball,2600,1987.0,Sports,Atari,0.07,0.0,0.0,0.0,0.07,1980s,
11718.0,Super Football,2600,1987.0,Sports,Atari,0.07,0.0,0.0,0.0,0.08,1980s,
11718.0,Super Football,2600,1987.0,Sports,Atari,0.07,0.0,0.0,0.0,0.08,1980s,
11718.0,Super Football,2600,1987.0,Sports,Atari,0.07,0.0,0.0,0.0,0.08,1980s,
9497.0,RealSports Volleyball,2600,1981.0,Sports,Atari,0.12,0.01,0.0,0.0,0.13,1980s,
9497.0,RealSports Volleyball,2600,1981.0,Sports,Atari,0.12,0.01,0.0,0.0,0.13,1980s,
9497.0,RealSports Volleyball,2600,1981.0,Sports,Atari,0.12,0.01,0.0,0.0,0.13,1980s,
9497.0,RealSports Volleyball,2600,1981.0,Sports,Atari,0.12,0.01,0.0,0.0,0.13,1980s,
