Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,NA_Cumulative_Sales
,Call of Duty: Black Ops,X360,2010.0,Shooter,,9.67,3.73,,,,,
,Call of Duty: Black Ops,PS3,2010.0,Shooter,,5.98,4.44,,,,,
,Halo: Reach,X360,2010.0,Shooter,,7.03,1.98,,,,,
,Red Dead Redemption,PS3,2010.0,Action,,2.79,2.61,,,,,
,Red Dead Redemption,X360,2010.0,Action,,3.7,1.97,,,,,
,God of War III,PS3,2010.0,Action,,2.74,1.36,,,,,
,Assassin's Creed: Brotherhood,X360,2010.0,Action,,2.84,0.39,,,,,
,Battlefield: Bad Company 2,X360,2010.0,Shooter,,2.09,1.02,,,,,
,Battlefield: Bad Company 2,PS3,2010.0,Shooter,,1.33,1.12,,,,,
,Assassin's Creed: Brotherhood,PS3,2010.0,Action,,1.87,0.57,,,,,
,Medal of Honor,PS3,2010.0,Shooter,,1.28,1.05,,,,,
,Medal of Honor,X360,2010.0,Shooter,,1.55,0.81,,,,,
,LEGO Harry Potter: Years 1-4,Wii,2010.0,Action,,1.29,0.97,,,,,
,LEGO Harry Potter: Years 1-4,DS,2010.0,Action,,1.07,1.05,,,,,
,BioShock 2,X360,2010.0,Shooter,,1.45,0.55,,,,,
,Toy Story 3: The Video Game,DS,2010.0,Action,,0.93,0.97,,,,,
,NBA 2K11,X360,2010.0,Action,,1.84,0.12,,,,,
,Metal Gear Solid: Peace Walker,PSP,2010.0,Action,,0.46,0.42,,,,,
,Ghostbusters: The Video Game (DS Version),PS3,2010.0,Action,,0.59,0.99,,,,,
,Tom Clancy's Splinter Cell: Conviction,X360,2010.0,Action,,1.2,0.63,,,,,
,GoldenEye 007 (2010),Wii,2010.0,Action,,0.85,0.71,,,,,
,NBA 2K11,PS3,2010.0,Action,,1.41,0.21,,,,,
,Just Cause 2,PS3,2010.0,Action,,0.45,0.94,,,,,
,Just Cause 2,X360,2010.0,Action,,0.59,0.85,,,,,
,LEGO Harry Potter: Years 1-4,X360,2010.0,Action,,0.95,0.5,,,,,
,Mafia II,X360,2010.0,Action,,0.84,0.56,,,,,
,BioShock 2,PS3,2010.0,Shooter,,0.85,0.47,,,,,
,Star Wars: The Force Unleashed II,PS3,2010.0,Action,,0.8,0.53,,,,,
,Mafia II,PS3,2010.0,Action,,0.5,0.72,,,,,
,Dead Rising 2,X360,2010.0,Action,,0.75,0.53,,,,,
,Star Wars: The Force Unleashed II,X360,2010.0,Action,,0.95,0.4,,,,,
,Toy Story 3: The Video Game,Wii,2010.0,Action,,0.64,0.63,,,,,
,Metroid: Other M,Wii,2010.0,Action,,0.87,0.31,,,,,
,Call of Duty: Black Ops,Wii,2010.0,Shooter,,0.82,0.47,,,,,
,Dead Rising 2,PS3,2010.0,Action,,0.43,0.57,,,,,
,LEGO Harry Potter: Years 1-4,PS3,2010.0,Action,,0.55,0.6,,,,,
,Alan Wake,X360,2010.0,Action,,0.66,0.51,,,,,
,MAG: Massive Action Game,PS3,2010.0,Shooter,,0.77,0.3,,,,,
,Sniper: Ghost Warrior,X360,2010.0,Shooter,,0.54,0.51,,,,,
,Red Dead Redemption: Undead Nightmare,PS3,2010.0,Action,,0.44,0.46,,,,,
,Crackdown 2,X360,2010.0,Shooter,,0.63,0.37,,,,,
,Castlevania: Lords of Shadow,PS3,2010.0,Action,,0.5,0.37,,,,,
,Toy Story 3: The Video Game,PS3,2010.0,Action,,0.51,0.42,,,,,
,Dante's Inferno,PS3,2010.0,Action,,0.64,0.28,,,,,
,Red Dead Redemption: Undead Nightmare,X360,2010.0,Action,,0.57,0.39,,,,,
,Aliens vs Predator,X360,2010.0,Shooter,,0.55,0.4,,,,,
,Darksiders,X360,2010.0,Action,,0.67,0.29,,,,,
,Aliens vs Predator,PS3,2010.0,Shooter,,0.41,0.47,,,,,
,Disney Tangled,DS,2010.0,Action,,0.58,0.37,,,,,
,God of War: Ghost of Sparta,PSP,2010.0,Action,,0.41,0.36,,,,,
,Lost Planet 2,PS3,2010.0,Shooter,,0.29,0.34,,,,,
,Army of Two: The 40th Day,X360,2010.0,Shooter,,0.62,0.24,,,,,
,Dante's Inferno,X360,2010.0,Action,,0.63,0.2,,,,,
,Army of Two: The 40th Day,PS3,2010.0,Shooter,,0.44,0.27,,,,,
,Star Wars: The Force Unleashed II,Wii,2010.0,Action,,0.54,0.19,,,,,
,Toy Story 3: The Video Game,X360,2010.0,Action,,0.41,0.29,,,,,
,Lost Planet 2,X360,2010.0,Shooter,,0.38,0.24,,,,,
,God Eater,PSP,2010.0,Action,,0.0,0.0,,,,,
,James Bond 007: Blood Stone,PS3,2010.0,Shooter,,0.18,0.38,,,,,
,Battlefield: Bad Company 2,PC,2010.0,Shooter,,0.19,0.53,,,,,
,LEGO Harry Potter: Years 1-4,PSP,2010.0,Action,,0.14,0.37,,,,,
,Prince of Persia: The Forgotten Sands,PS3,2010.0,Action,,0.19,0.36,,,,,
,Disney Tangled,Wii,2010.0,Action,,0.47,0.17,,,,,
,Castlevania: Lords of Shadow,X360,2010.0,Action,,0.42,0.18,,,,,
,Fist of the North Star: Ken's Rage,PS3,2010.0,Action,,0.06,0.03,,,,,
,Toy Story 3: The Video Game,PSP,2010.0,Action,,0.27,0.25,,,,,
,Gods Eater Burst,PSP,2010.0,Action,,0.03,0.0,,,,,
,Sengoku Basara: Samurai Heroes,PS3,2010.0,Action,,0.17,0.04,,,,,
,Red Steel 2,Wii,2010.0,Shooter,,0.36,0.21,,,,,
,Call of Duty: Black Ops,DS,2010.0,Shooter,,0.54,0.05,,,,,
,Prince of Persia: The Forgotten Sands,X360,2010.0,Action,,0.3,0.26,,,,,
,Vanquish,PS3,2010.0,Shooter,,0.21,0.22,,,,,
