Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,NA_Cumulative_Sales
113.0,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,,
113.0,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,10s,
113.0,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,,
113.0,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,10s,
122.0,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,,
122.0,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,10s,
122.0,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,,
122.0,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,10s,
200.0,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,10s,
200.0,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,,
200.0,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,,
200.0,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,10s,
220.0,FIFA 15,PS3,2014.0,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82,10s,
220.0,FIFA 15,PS3,2014.0,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82,,
220.0,FIFA 15,PS3,2014.0,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82,10s,
220.0,FIFA 15,PS3,2014.0,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82,,
314.0,Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87,,
314.0,Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87,10s,
314.0,Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87,,
314.0,Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87,10s,
348.0,FIFA Soccer 10,PS3,2009.0,Sports,Electronic Arts,0.6,2.46,0.05,0.52,3.63,00s,
348.0,FIFA Soccer 10,PS3,2009.0,Sports,Electronic Arts,0.6,2.46,0.05,0.52,3.63,,
348.0,FIFA Soccer 10,PS3,2009.0,Sports,Electronic Arts,0.6,2.46,0.05,0.52,3.63,00s,
348.0,FIFA Soccer 10,PS3,2009.0,Sports,Electronic Arts,0.6,2.46,0.05,0.52,3.63,,
514.0,FIFA 16,PS3,2015.0,Sports,Electronic Arts,0.4,1.98,0.05,0.42,2.85,,
514.0,FIFA 16,PS3,2015.0,Sports,Electronic Arts,0.4,1.98,0.05,0.42,2.85,10s,
514.0,FIFA 16,PS3,2015.0,Sports,Electronic Arts,0.4,1.98,0.05,0.42,2.85,,
514.0,FIFA 16,PS3,2015.0,Sports,Electronic Arts,0.4,1.98,0.05,0.42,2.85,10s,
590.0,FIFA Soccer 09,PS3,2008.0,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.59,,
590.0,FIFA Soccer 09,PS3,2008.0,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.59,00s,
590.0,FIFA Soccer 09,PS3,2008.0,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.59,00s,
590.0,FIFA Soccer 09,PS3,2008.0,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.59,,
604.0,Madden NFL 13,PS3,2012.0,Sports,Electronic Arts,2.11,0.23,0.0,0.22,2.56,,
604.0,Madden NFL 13,PS3,2012.0,Sports,Electronic Arts,2.11,0.23,0.0,0.22,2.56,10s,
604.0,Madden NFL 13,PS3,2012.0,Sports,Electronic Arts,2.11,0.23,0.0,0.22,2.56,,
604.0,Madden NFL 13,PS3,2012.0,Sports,Electronic Arts,2.11,0.23,0.0,0.22,2.56,10s,
624.0,NBA 2K13,PS3,2012.0,Sports,Take-Two Interactive,1.72,0.44,0.05,0.27,2.48,10s,
624.0,NBA 2K13,PS3,2012.0,Sports,Take-Two Interactive,1.72,0.44,0.05,0.27,2.48,,
624.0,NBA 2K13,PS3,2012.0,Sports,Take-Two Interactive,1.72,0.44,0.05,0.27,2.48,10s,
624.0,NBA 2K13,PS3,2012.0,Sports,Take-Two Interactive,1.72,0.44,0.05,0.27,2.48,,
