Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,NA_Cumulative_Sales
16442.0,Shin Sangoku Musou 4 Special,X360,2005.0,Action,Tecmo Koei,0.0,0.0,0.01,0.0,0.01,,
16014.0,Tom Clancy's  Ghost Recon Advanced Warfighter (weekly JP sales),X360,2006.0,Shooter,Ubisoft,0.0,0.0,0.01,0.0,0.01,,
16066.0,Super Robot Taisen XO,X360,2006.0,Strategy,Banpresto,0.0,0.0,0.01,0.0,0.01,,
16398.0,LMA Manager 2007,X360,2006.0,Sports,Codemasters,0.0,0.01,0.0,0.0,0.01,,
16416.0,The Godfather (JP sales),X360,2006.0,Action,Electronic Arts,0.0,0.0,0.01,0.0,0.01,,
16393.0,World Snooker Championship 2007,X360,2007.0,Sports,Sega,0.0,0.01,0.0,0.0,0.01,,
16056.0,Banjo-Kazooie,X360,2008.0,Platform,Microsoft Game Studios,0.0,0.01,0.0,0.0,0.01,,
16095.0,Superstars V8 Racing,X360,2009.0,Racing,Black Bean Games,0.0,0.01,0.0,0.0,0.01,,
16103.0,Konami Classics Vol. 2,X360,2009.0,Misc,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.01,,
16266.0,Mamoru-kun wa Norowarete Shimatta!,X360,2009.0,Shooter,G.Rev,0.0,0.0,0.01,0.0,0.01,,
