,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,NA_Cumulative_Sales,Cumulative_NA_Sales,Cumulative_JP_Sales
2138,,NFL Fever 2002,XB,2000.0,Sports,,0.74,0.21,,,,,,0.74,
2437,,Halo: Combat Evolved,XB,2001.0,Shooter,,4.98,1.3,,,,,,5.720000000000001,
2469,,Project Gotham Racing,XB,2001.0,Racing,,1.37,0.61,,,,,,7.090000000000001,
2482,,Dead or Alive 3,XB,2001.0,Fighting,,1.19,0.29,,,,,,8.280000000000001,
2505,,Max Payne,XB,2001.0,Shooter,,0.98,0.19,,,,,,9.260000000000002,
2506,,Fuzion Frenzy,XB,2001.0,Misc,,0.93,0.24,,,,,,10.190000000000001,
2516,,The Simpsons: Road Rage,XB,2001.0,Racing,,0.78,0.26,,,,,,10.97,
2526,,Amped: Freestyle Snowboarding,XB,2001.0,Sports,,0.69,0.11,,,,,,11.66,
2538,,Oddworld: Munch's Oddysee,XB,2001.0,Platform,,0.54,0.16,,,,,,12.2,
2542,,Star Wars: Obi-Wan,XB,2001.0,Action,,0.52,0.16,,,,,,12.719999999999999,
2547,,Tony Hawk's Pro Skater 2x,XB,2001.0,Sports,,0.41,0.19,,,,,,13.129999999999999,
2557,,Blood Wake,XB,2001.0,Shooter,,0.43,0.12,,,,,,13.559999999999999,
2596,,SSX Tricky,XB,2001.0,Sports,,0.32,0.09,,,,,,13.879999999999999,
2604,,Star Wars Starfighter: Special Edition,XB,2001.0,Simulation,,0.3,0.1,,,,,,14.18,
2613,,NBA Live 2002,XB,2001.0,Sports,,0.35,0.03,,,,,,14.53,
2624,,Shrek,XB,2001.0,Platform,,0.25,0.1,,,,,,14.78,
2630,,NASCAR Thunder 2002,XB,2001.0,Racing,,0.25,0.07,,,,,,15.03,
2651,,Silent Hill 2: Restless Dreams,XB,2001.0,Action,,0.21,0.06,,,,,,15.24,
2658,,NHL Hitz 20-02,XB,2001.0,Sports,,0.2,0.06,,,,,,15.44,
2661,,NHL 2002,XB,2001.0,Sports,,0.2,0.06,,,,,,15.639999999999999,
2670,,Exhibition,XB,2001.0,Misc,,0.19,0.05,,,,,,15.829999999999998,
2678,,Azurik: Rise of Perathia,XB,2001.0,Action,,0.18,0.05,,,,,,16.009999999999998,
2679,,4x4 EVO 2,XB,2001.0,Racing,,0.18,0.05,,,,,,16.189999999999998,
